JTB58B	⿰犭⿳大日小
JTB596	⿰王刀
JTB598	⿰王毛
JTB59DS	⿰王𫝆
JTB5A4	⿰王而
JTB5AA	⿰王？
JTB5AE	⿱知王
JTB5B0	⿰王冐
JTB5B2	⿰王畄
JTB5B4	瑊
JTB5B6	⿰王享
JTB5BC	⿰王⿱冖豕
JTB5BD	⿰王⿱巛㐫
JTB5C0	⿰王革
JTB5CC	⿱⿰臣叉玉
JTB5CF	⿰王粛
JTB5D2S	⿰王⿳穴日小
JTB5D3	⿰王尊
JTB5D4	⿰王⿱𣦺米
JTB5F2	⿱山生
JTB5F4	⿰丶
JTB5F9	⿱覀田
JTB5FAS	⿰田⿱厶友
JTB5FB	⿰主男
JTB5FD	⿳田从宜
JTB5FE	⿳田吅宜
JTB5FF	⿳畾冖⿱口一
JTB602	⿸疒圣
JTB605	⿸疒労
JTB60A	？
JTB618	⿸疒𩛬
JTB61DS	⿸疒黴
JTB61E	⿱癶強
JTB622	⿰白元
JTB623	⿰白方
JTB627	⿱白平
JTB62A	⿰白尭
JTB62BS	⿱白非
JTB62CS	⿱敃白
JTB633	⿱皷冬
JTB637	⿱加皿
JTB639S	⿳䒑八一皿
JTB63E	⿱春皿
JTB64D	⿰目広
JTB64E	⿰目出
JTB657	⿳匕直八
JTB658	⿳匕直八
JTB661	䁱
JTB662	⿰目⿳士⿰土土兀
JTB665	⿰目暑
JTB666	⿱殸⿸𠂋目
JTB66AS	⿱火矢
JTB66D	⿰矢武
JTB66F	⿱桝矢
JTB673	⿰石卯
JTB679	⿰石兵
JTB67A	⿰石完
JTB685	⿱敀石
JTB686	⿰石⿱宀匡
JTB688	⿰石⿱幵手
JTB68F	⿰石雀
JTB690	⿰石⿱収貝
JTB6A9	⿰礻？
JTB6BF	⿰礻皮
JTB6C1	⿰礻令
JTB6C2	⿰礻生
JTB6CB	⿰示⿸𠂆口
JTB6CC	⿱未示
JTB6CD	⿰礻夸
JTB6D4	⿰礻行
JTB6D5	⿰示早
JTB6DC	⿰示有
JTB6DD	⿱六⿲丿示丨
JTB6EC	⿱𣦼示
JTB6F4	⿰礻宜
JTB701	⿱礻星
JTB70C	⿰礻𠦤
JTB711S	⿰礻強
JTB714	⿰礻？
JTB71D	⿰礻象
JTB71E	⿰礻䙴
JTB72E	⿰示⿱爫
JTB72F	⿰礻齋
JTB734	⿱禾十
JTB735	⿰禾太
